tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,12,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,43967
2021,12,Mikrotrans,JAK.85,Bintara - Cipinang Indah,40103
2021,12,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,59193
2021,12,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,70475
2021,12,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,77697
2021,12,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,62086
2021,12,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,58622
2021,12,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,86917
2021,12,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,104712
2021,12,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,69365
2021,12,Mikrotrans,JAK.64,Lenteng Agung - Aseli,66235
2021,12,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,47929
2021,12,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,70382
2021,12,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,81467
2021,12,Mikrotrans,JAK.58,Cilingcing - Rorotan,114592
2021,12,Mikrotrans,JAK.56,Grogol - Srengseng,60415
2021,12,Mikrotrans,JAK.54,Grogol - Benhil,57178
2021,12,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,68275
2021,12,Mikrotrans,JAK.52,Kalideres - Muara Angke,86276
2021,12,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,124003
2021,12,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,79329
2021,12,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,53972
2021,12,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,68695
2021,12,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,109328
2021,12,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,59932
2021,12,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,82948
2021,12,Mikrotrans,JAK.43,Tongtek - Cililitan,104353
2021,12,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,95485
2021,12,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,57059
2021,12,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,49918
2021,12,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,75170
2021,12,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,56049
2021,12,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,71809
2021,12,Mikrotrans,JAK.36,Cilangkap - Cililitan,88277
2021,12,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,37850
2021,12,Mikrotrans,JAK.34,Rawamangun - Klender,75763
2021,12,Mikrotrans,JAK.33,Pulo Gadung - Kota,64986
2021,12,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,96339
2021,12,Mikrotrans,JAK.31,Blok M - Andara,80726
2021,12,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,167782
2021,12,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,146329
2021,12,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,81435
2021,12,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,65717
2021,12,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,51285
2021,12,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,64243
2021,12,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,101816
2021,12,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,22786
2021,12,Mikrotrans,JAK.21,Cililitan - Dwikora,76970
2021,12,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,62477
2021,12,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,110771
2021,12,Mikrotrans,JAK.18,Kalibata - Kuningan,43349
2021,12,Mikrotrans,JAK.17,Senen - Pulo Gadung,62285
2021,12,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,90254
2021,12,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,152585
2021,12,Mikrotrans,JAK.14,Tanah Abang - Meruya,125777
2021,12,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,24193
2021,12,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,78580
2021,12,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,106506
2021,12,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,70986
2021,12,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,87568
2021,12,Mikrotrans,JAK.10B,,4085
2021,12,Mikrotrans,JAK.10A,,33992
2021,12,Mikrotrans,JAK.10,Tanah Abang - Kota,62581
2021,12,Mikrotrans,JAK.09,Roxy Mas - Karet,33555
2021,12,Mikrotrans,JAK.08,Roxy - Benhil,50409
2021,12,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,69904
2021,12,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,70907
2021,12,Mikrotrans,JAK.05,Semper - Rorotan,74100
2021,12,Mikrotrans,JAK.04,Grogol - Tubagus Angke,57870
2021,12,Mikrotrans,JAK.03,Lebak Bulus - Andara,43991
2021,12,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,59985
2021,12,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,75915
2021,12,BRT,9,Pinang Ranti - Pluit,819178
2021,12,BRT,8,Lebak Bulus - Harmoni,533221
2021,12,BRT,7,Kampung Rambutan - Kampung Melayu,402368
2021,12,BRT,6,Ragunan - Dukuh Atas 2,401232
2021,12,BRT,5,Kampung Melayu - Ancol,513138
2021,12,BRT,4,Pulo Gadung 2 - Tosari,319411
2021,12,BRT,3,Kalideres - Pasar Baru,465124
2021,12,BRT,2,Pulo Gadung 1 - Harmoni,380760
2021,12,BRT,13,Ciledug - Tendean,337233
2021,12,BRT,12,Penjaringan - Sunter Bouleverd Barat,167399
2021,12,BRT,11,Pulo Gebang - Kampung Melayu,163776
2021,12,BRT,10,Tanjung Priok - PGC 2,419198
2021,12,BRT,1,Blok M - Kota,1131439
2021,12,Angkutan Umum Integrasi,9H,Cipedak - Blok M,0
2021,12,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,0
2021,12,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,0
2021,12,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,0
2021,12,Angkutan Umum Integrasi,8E,Bintaro - Blok M,0
2021,12,Angkutan Umum Integrasi,8D,Joglo - Blok M,0
2021,12,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,0
2021,12,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,0
2021,12,Angkutan Umum Integrasi,7D,Pancoran - TMII,0
2021,12,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,0
2021,12,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,0
2021,12,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,0
2021,12,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,0
2021,12,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,0
2021,12,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,8
2021,12,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,0
2021,12,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,0
2021,12,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,0
2021,12,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,0
2021,12,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,0
2021,12,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,0
2021,12,Angkutan Umum Integrasi,3E,Sentraland Cengkareng - Puri Kembangan,0
2021,12,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,176
2021,12,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,0
2021,12,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,0
2021,12,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,0
2021,12,Angkutan Umum Integrasi,1M,Meruya - Blok M,0
2021,12,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,0
2021,12,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,0
2021,12,Angkutan Umum Integrasi,1E,Pondok  Labu - Blok M,0
2021,12,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,0
2021,12,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,0
2021,12,Angkutan Umum Integrasi,1A,PIK - Balai Kota,0
2021,12,Angkutan Umum Integrasi,12B,Pluit - Senen,0
2021,12,Angkutan Umum Integrasi,11Q,Kampung Melayu - Pulo Gebang via BKT,0
2021,12,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0
2021,12,Angkutan Umum Integrasi,10K,Tanjung Priok - Senen via Taman  BMW,0
2021,11,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,40135
2021,11,Mikrotrans,JAK.85,Bintara - Cipinang Indah,38487
2021,11,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,49142
2021,11,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,66701
2021,11,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,75248
2021,11,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,56825
2021,11,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,55667
2021,11,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,84918
2021,11,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,100864
2021,11,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,65152
2021,11,Mikrotrans,JAK.64,Lenteng Agung - Aseli,61617
2021,11,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,43632
2021,11,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,79618
2021,11,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,84370
2021,11,Mikrotrans,JAK.58,Cilingcing - Rorotan,110584
2021,11,Mikrotrans,JAK.56,Grogol - Srengseng,55986
2021,11,Mikrotrans,JAK.54,Grogol - Benhil,52566
2021,11,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,61754
2021,11,Mikrotrans,JAK.52,Kalideres - Muara Angke,79531
2021,11,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,122865
2021,11,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,77204
2021,11,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,50611
2021,11,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,63835
2021,11,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,106263
2021,11,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,55555
2021,11,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,75946
2021,11,Mikrotrans,JAK.43,Tongtek - Cililitan,104411
2021,11,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,84595
2021,11,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,52250
2021,11,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,47573
2021,11,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,70372
2021,11,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,52938
2021,11,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,69292
2021,11,Mikrotrans,JAK.36,Cilangkap - Cililitan,80759
2021,11,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,34484
2021,11,Mikrotrans,JAK.34,Rawamangun - Klender,71939
2021,11,Mikrotrans,JAK.33,Pulo Gadung - Kota,64400
2021,11,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,90627
2021,11,Mikrotrans,JAK.31,Blok M - Andara,73900
2021,11,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,160715
2021,11,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,137509
2021,11,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,75895
2021,11,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,59685
2021,11,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,48931
2021,11,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,57999
2021,11,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,94793
2021,11,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,21124
2021,11,Mikrotrans,JAK.21,Cililitan - Dwikora,77867
2021,11,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,63118
2021,11,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,109711
2021,11,Mikrotrans,JAK.18,Kalibata - Kuningan,41370
2021,11,Mikrotrans,JAK.17,Senen - Pulo Gadung,59969
2021,11,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,96991
2021,11,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,146160
2021,11,Mikrotrans,JAK.14,Tanah Abang - Meruya,115672
2021,11,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,22307
2021,11,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,80723
2021,11,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,103410
2021,11,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,78124
2021,11,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,88319
2021,11,Mikrotrans,JAK.10B,Gondangdia - Cikini via Kramat Raya,4008
2021,11,Mikrotrans,JAK.10A,Gondangdia - Cikini via Salemba Raya,30703
2021,11,Mikrotrans,JAK.10,Tanah Abang - Kota,59213
2021,11,Mikrotrans,JAK.09,Roxy Mas - Karet,31253
2021,11,Mikrotrans,JAK.08,Roxy - Benhil,48046
2021,11,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,66471
